"","V1","V2"
"1","2016-07-19_256178610049_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_1_1.txt","isolate_01_6HR_DHA_BRep2"
"2","2016-07-19_256178610049_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_1_2.txt","isolate_17_6HR_DHA_BRep1"
"3","2016-07-19_256178610049_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_1_3.txt","isolate_17_24HR_DHA_BRep1"
"4","2016-07-19_256178610049_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_1_4.txt","isolate_21_6HR_UT_BRep2"
"5","2016-07-19_256178610049_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_2_1.txt","isolate_07_24HR_DHA_BRep2"
"6","2016-07-19_256178610049_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_2_2.txt","isolate_20_6HR_DHA_BRep2"
"7","2016-07-19_256178610049_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_2_3.txt","isolate_02_24HR_UT_BRep2"
"8","2016-07-19_256178610049_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_2_4.txt","isolate_17_24HR_UT_BRep2"
"9","2016-07-19_256178610050_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_1_1.txt","isolate_25_6HR_UT_BRep2"
"10","2016-07-19_256178610050_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_1_2.txt","isolate_17_24HR_UT_BRep1"
"11","2016-07-19_256178610050_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_1_3.txt","isolate_06_24HR_UT_BRep1"
"12","2016-07-19_256178610050_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_1_4.txt","isolate_08_24HR_DHA_BRep2"
"13","2016-07-19_256178610050_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_2_3.txt","isolate_01_24HR_DHA_BRep1"
"14","2016-07-19_256178610050_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_2_4.txt","isolate_08_6HR_UT_BRep2"
"15","2016-07-19_256178610051_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_1_1.txt","isolate_06_24HR_DHA_BRep1"
"16","2016-07-19_256178610051_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_1_2.txt","isolate_28_6HR_UT_BRep1"
"17","2016-07-19_256178610051_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_1_3.txt","isolate_02_6HR_UT_BRep1"
"18","2016-07-19_256178610051_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_1_4.txt","isolate_04_24HR_UT_BRep1"
"19","2016-07-19_256178610051_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_2_2.txt","isolate_26_6HR_DHA_BRep1"
"20","2016-07-19_256178610051_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_2_3.txt","isolate_30_24HR_DHA_BRep1"
"21","2016-07-19_256178610051_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_2_4.txt","isolate_21_24HR_UT_BRep1"
"22","2016-07-19_256178610052_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_1_1.txt","isolate_30_24HR_UT_BRep1"
"23","2016-07-19_256178610052_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_1_3.txt","isolate_15_6HR_UT_BRep1"
"24","2016-07-19_256178610052_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_1_4.txt","isolate_25_24HR_DHA_BRep1"
"25","2016-07-19_256178610052_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_2_1.txt","isolate_20_6HR_UT_BRep2"
"26","2016-07-19_256178610052_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_2_2.txt","isolate_07_24HR_UT_BRep2"
"27","2016-07-19_256178610052_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_2_3.txt","isolate_04_6HR_UT_BRep2"
"28","2016-07-19_256178610052_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_2_4.txt","isolate_01_6HR_DHA_BRep1"
"29","2016-07-19_256178610053_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_1_1.txt","isolate_26_24HR_DHA_BRep1"
"30","2016-07-19_256178610053_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_1_3.txt","isolate_18_24HR_DHA_BRep1"
"31","2016-07-19_256178610053_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_1_4.txt","isolate_07_24HR_UT_BRep1"
"32","2016-07-19_256178610053_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_2_2.txt","isolate_26_24HR_UT_BRep1"
"33","2016-07-19_256178610053_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_2_3.txt","isolate_26_6HR_UT_BRep2"
"34","2016-07-19_256178610053_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_2_4.txt","isolate_17_6HR_DHA_BRep2"
"35","2016-07-19_256178610054_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_1_1.txt","isolate_02_24HR_DHA_BRep1"
"36","2016-07-19_256178610054_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_1_2.txt","isolate_04_6HR_UT_BRep1"
"37","2016-07-19_256178610054_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_1_3.txt","isolate_30_6HR_DHA_BRep1"
"38","2016-07-19_256178610054_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_1_4.txt","isolate_08_24HR_DHA_BRep1"
"39","2016-07-19_256178610054_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_2_1.txt","isolate_12_24HR_UT_BRep2"
"40","2016-07-19_256178610054_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_2_2.txt","isolate_06_6HR_UT_BRep1"
"41","2016-07-19_256178610054_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_2_3.txt","isolate_20_24HR_UT_BRep1"
"42","2016-07-19_256178610055_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_1_2.txt","isolate_01_6HR_UT_BRep1"
"43","2016-07-19_256178610055_532_635_exp_autogain2-1_converted_GE1_Dec2014_MTF_EXP_1_3.txt","isolate_15_24HR_UT_BRep1"
